Last Name,姓氏,Ethnic
IK,易,Mandarin
TAU,陶,Mandarin
PHEH,PHEH,Others
KING,PHEH,Others
ANN,安,Mandarin
RUI,芮,Mandarin
ZHAI,翟,Mandarin
THIN,THIN,Others
HEAW,HEAW,Others
CHUM,CHUM,Others
SOG,SOG,Others
NYEE,聶,Others
TEAW,TEAW,Others
YUU,余,Mandarin
TEYO,張,Others
SHEH,余,Cantonese
GIAN,GIAN,Others
CHIW,周,Hokkien/Teochew
TIOE,TIOE,Others
MAO,毛,Mandarin
YER,YER,Others
LANG,冷,Cantonese
PHOO,蒲,Hokkien
LIUANG,LIUANG,Others
THIANG,THIANG,Others
DOO,杜,Korean
HAY,海,Korean
KOID,KOID,Others
TOUNG,TOUNG,Others
YEANG,楊,Mandarin
YAK,YAK,Others
KOA,KOA,Others
KHAN,KHAN,Others
KIO,喬,Cantonese
SHEA,謝,Hokkien/Teochew
SHICK,SHICK,Others 
THEY,THEY,Others
FARN,范,Mandarin
CHIOW,CHIOW,Others
GONG,龔,Mandarin
SOE,SOE,Others
NING,寧,Mandarin
HUR,許,Korean
KENG,庚,Mandarin
YEAM,嚴,Cantonese
GOEY,GOEY,Others
EN,EN,Others 
EAW,EAW,Others
SYOW,肖,Mandarin
LARNG,LARNG,Others
SEOOW,蕭,Hakka
CHEH,車,Cantonese
VUN,文,Hakka
TNEE,倪,Hokkien
TZE,支,Cantonese
FEU,FEU,Others
PHON,潘,Others
YI,易,Mandarin
NGIM,任,Hakka
KUIH,郭,Hokkien
THIAM,THIAM,Others
KHIT,乞,Teochew
YAB,YAB,Others
MOA,MOA,Others
CHWA,左,Korean
YOE,游,Mandarin
JUI,芮,Hokkien
CHAR,查,Mandarin
SUI,隋,Mandarin
SEU,史,Hokkien
OW YEANG,歐陽,Others
LIEONG,梁,Foochow
YIT,易,Hakka
SIK,薛,Cantonese
LYI,黎,Cantonese
JOAN,JOAN,Others
LIOM,LIOM,Others
KUE,郭,Teochew
TOA,TOA,Others
XUE,薛,Mandarin
WOONG,黃,Cantonese
CHEING,CHEING,Others
TOWH,TOWH,Others
GEW,GEW,Others
NEOW,NEOW,Others
SEAW,肖,Cantonese
TIUN,TIUN,Others
TUAN,段,Mandarin
YECK,易,Cantonese
NGOE,NGOE,Others
TSOU,鄒,Others
FENG,馮,Mandarin
FUA,FUA,Others
DAW,DAW,Others
SEH,SEH,Others
EAN,EAN,Others
TJU,TJU,Others
ZHUO,卓,Mandarin
WEY,魏,Mandarin
AU YEONG,歐陽,Others
EEH,EEH,Others
HO TS,HO TS,Others
HEA,HEA,Others
OUNG,翁,Teochew
YIAP,葉,Hokkien/Hakka
LUO,羅,Mandarin
KOOU,KOOU,Others
LECK,陸,Others
TNEH,TNEH,Others
CHIOK,卓,Cantonese
BO,薄,Mandarin
YIAUW,YIAUW,Others
BAO,鮑,Mandarin
YUM,任,Cantonese
TIEU,蕭,Vietnamese
PUK,卜,Mandarin
GIM,金,Others
BANG,方,Korean
MII,米,Mandarin
PAO,鮑,Mandarin
LEIN,連,Cantonese
CHAK,翟,Cantonese
DWEE,DWEE,Others
SUAH,SUAH,Others
LEN,LEN,Others
SUAW,邵,Others
SAU,邵,Hakka
TSAI,蔡,Mandarin
YIEW,姚,Cantonese
MACK,MACK,Others
PHIONG,方,Vietnamese
HEH,何,Others
NGWE,NGWE,Others 
CHEOU,CHEOU,Others
HUO,霍,Mandarin
KA,KA,Others
EUI,EUI,Others
BAH,BAH,Others
NIOH,NIOH,Others
THI,THI,Others
KHNG,KHNG,Others 
KUEN,KUEN,Others
TU,杜,Mandarin
LUYE,LUYE,Others
BAY,BAY,Others
NAI,賴,Hokkien
SECK,SECK,Others
SHIN,辛,Korean
NYEW,NYEW,Others
NGIAW,NGIAW,Others
PA,PA,Others
WA,WA,Others
SIAM,SIAM,Others
QUAK,郭,Korean
LEUK,LEUK,Others
POUR,POUR,Others
SHOO,SHOO,Others
KEOK,KEOK,Others
CHARN,CHARN,Others
BI,畢,Mandarin
HAH,HAH,Others
LEENG,冷,Others
GEH,GEH,Others
NYAW,NYAW,Others
FAH,花,Cantonese
KEY,KEY,Others
AU YANG,歐陽,Others
LION,LION,Others
THIAH,THIAH,Others
BON,BON,Others
SANG,成,Hakka
GAIN,GAIN,Others
BENG,孟,Hokkien
GUEE,GUEE,Others
KHA,郗,Vietnamese
NGUI,魏,Hakka
KIT,傑,Cantonese
EO,魚,Korean
LIUNG,梁,Hokkien
CHEY,崔,Korean
QUAY,郭,Hokkien
BUI,裴,Vietnamese
WOI,魏,Mandarin
KHER,柯,Vietnamese
HIAH,HIAH,Others
NUM,南,Cantonese
SHIAN,咸,Mandarin
TSE,謝,Cantonese
HUP,合,Hokkien
DEE,李,Others
KHING,KHING,Others
NIN,年,Cantonese
SIOK,蕭,Hokkien
MOON,MOON,Others
JI,紀,Mandarin
DI,狄,Mandarin
GOE,魏,Hakka
YENG,刑,Cantonese
EAU,EAU,Others
PUEN,PUEN,Others
GAM,甘,Hokkien
KUOK,郭,Cantonese
JUA,JUA,Others
EA,鄂,Mandarin
IAK,IAK,Others
OWEI,OWEI,Others
HIANG,賢,Teochew
YEUN,元,Korean
KHOANG,KHOANG,Vietnamese
THIEN,鄧,Others
NIAM,念,Teochew
CHUWA,蔡,Teochew
WOOI,韋,Hakka
MOOI,梅,Cantonese
SHEU,許,Mandarin
SIE,施,Mandarin
YON,連,Korean
FEONG,方,Cantonese
TOW,杜,Mandarin
SET,石,Cantonese
NGEO,楊,Hokkien
UNG,翁,Cantonese
YEIK,YEIK,Others
THEH,鄭,Hokkien/Teochew
SHEM,SHEM,Others
T'NG,唐,Hokkien
TAE,太,Korean
CHEUNG,張,Cantonese
NYIEW,聂,Mandarin
E,鄂,Mandarin
PHEE,彭,Hokkien
TIAU,刁,Hokkien
NENG,能,Mandarin
ING,伍,Others
VAN,VAN,Vietnamese
NGA,倪,Foochow
GIN,經,Hakka
TUN,段,Cantonese
KIU,喬,Cantonese
CHIAN,錢,Mandarin
BOOI,BOOI,Others
THEAM,田,Cantonese
TCHUN,TCHUN,Others
IO,姚,Cantonese
CHOA,草,Mandarin
MIN,閔,Mandarin
REN,任,Mandarin
DUA,廉,Korean
TEAN,TEAN,Others
GREG,GREG,Others
MOC,MOC,Vietnamese
VOONG,王,Hakka
QIANG,強,Mandarin
LIA,LIA,Indonesia
MAI,米,Cantonese
LEA,LEA,Others
NEH,NEH,Others
NIU,牛,Mandarin
ONN,溫,Hokkien
MONG,蒙,Cantonese
NANG,能,Cantonese
LEH,黎,Korean
CHHIN,陳,Hakka
CHIEIU,趙,Cantonese
SHAT,SHAT,Others
THER,THER,Others
PNG,方,Teochew
TON,TON,Others
